event,league,date,event_location_country,fighter_1,fighter_2,winner,match_arm,f1_age,f2_age,f1_style_dominant,f1_style_additional,f2_style_dominant,f2_style_additional,f1_weight,f2_weight,weight_advantage,f1_height,f2_height,height_advantage,f1_country,f2_country,f1_travel_penalty,f2_travel_penalty,domestic_advantage,travel_type,label,f1_style_combo_success_percent,f2_style_combo_success_percent,athlete1_style_advantage_rate,f1_gender,f2_gender,f1_is_current_title_holder,f2_is_current_title_holder,f1_days_from_last_match,f2_days_from_last_match,f1_low_rank_predictions,f1_high_rank_predictions,f2_low_rank_predictions,f2_high_rank_predictions,f1_all_rank_predictions,f2_all_rank_predictions,f1_left_winning_streak,f1_right_winning_streak,f1_winrate_last_5,f2_left_winning_streak,f2_right_winning_streak,f2_winrate_last_5,num_shared_opponents_value,mma_math_positive,mma_math_negative,has_head_to_head,head_to_head_result,second_order_mma_math_difference,second_order_mma_math_positive,second_order_mma_math_negative,f1_domestic_win_rate,f1_transatlantic_win_rate,f2_domestic_win_rate,f2_transatlantic_win_rate
East vs West 17,EvW,"March 29, 2025",USA,Devon Larratt,Corey West,Devon Larratt,Left,50.0,34.0,Toproll,King's Move,Hook,Side,120.0,195.0,-75.0,196.0,192.0,4.0,Canada,USA,0,0,0,domestic,1,80.0,44.2,59.6,male,male,False,False,42,105,8,4,0,0,18,1,0,3,0.8,-2,-2,0.2,0,0,0,0,0,0,0,0,1.0,0.75,0.333,0.2
East vs West 17,EvW,"March 29, 2025",USA,Corey West,Devon Larratt,Devon Larratt,Left,34.0,50.0,Hook,Side,Toproll,King's Move,195.0,120.0,75.0,192.0,196.0,-4.0,USA,Canada,0,0,0,domestic,0,44.2,80.0,40.4,male,male,False,False,105,42,0,0,8,4,1,18,-2,-2,0.2,0,3,0.8,0,0,0,0,0,0,0,0,0.333,0.2,1.0,0.75
East vs West 17,EvW,"March 29, 2025",USA,Yoshinobu Kanai,John Brzenk,Yoshinobu Kanai,Right,49.0,60.0,Hook,King's Move,Hook,Toproll,101.0,104.0,-3.0,173.0,181.0,-8.0,Japan,USA,0,0,0,domestic,1,50.0,39.7,50.0,male,male,False,False,147,231,0,1,6,1,3,11,0,0,0.0,0,0,0.2,0,0,0,0,0,2,3,1,1.0,0.0,0.5,0.333
East vs West 17,EvW,"March 29, 2025",USA,John Brzenk,Yoshinobu Kanai,Yoshinobu Kanai,Right,60.0,49.0,Hook,Toproll,Hook,King's Move,104.0,101.0,3.0,181.0,173.0,8.0,USA,Japan,0,0,0,domestic,0,39.7,50.0,50.0,male,male,False,False,231,147,6,1,0,1,11,3,0,0,0.2,0,0,0.0,0,0,0,0,0,-2,1,3,0.5,0.333,1.0,0.0
East vs West 16,EvW,"February 15, 2025",Georgia,Stoyan Golemanov,Vasily Dautashvili,Stoyan Golemanov,Right,43.0,37.0,Toproll,Hook,Hook,Toproll,100.0,105.0,-5.0,185.0,183.0,2.0,Bulgaria,Georgia,0,0,0,domestic,1,53.4,39.7,59.6,male,male,False,False,301,0,1,1,3,0,3,4,0,0,1.0,0,0,0.5,0,0,0,0,0,0,0,0,1.0,0.5,0.0,0.5
East vs West 16,EvW,"February 15, 2025",Georgia,Vasily Dautashvili,Stoyan Golemanov,Stoyan Golemanov,Right,37.0,43.0,Hook,Toproll,Toproll,Hook,105.0,100.0,5.0,183.0,185.0,-2.0,Georgia,Bulgaria,0,0,0,domestic,0,39.7,53.4,40.4,male,male,False,False,0,301,3,0,1,1,4,3,0,0,0.5,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.5
East vs West 16,EvW,"February 15, 2025",Georgia,Bacho Saginashvili,Brad Grundy,Bacho Saginashvili,Right,20.0,27.0,Hook,Side,Toproll,,95.0,114.0,-19.0,186.0,183.0,3.0,Georgia,USA,0,1,1,transatlantic,1,44.2,50.0,40.4,male,male,False,False,357,539,4,1,1,0,9,2,0,0,0.5,0,0,1.0,0,0,0,0,0,0,0,0,0.667,0.5,0.5,0.5
East vs West 16,EvW,"February 15, 2025",Georgia,Brad Grundy,Bacho Saginashvili,Bacho Saginashvili,Right,27.0,20.0,Toproll,,Hook,Side,114.0,95.0,19.0,183.0,186.0,-3.0,USA,Georgia,1,0,-1,transatlantic,0,50.0,44.2,59.6,male,male,False,False,539,357,1,0,4,1,2,9,0,0,1.0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0.667,0.5
East vs West 16,EvW,"February 15, 2025",Georgia,Serhii Kalinichenko,Frank Lamparelli,Serhii Kalinichenko,Right,32.0,46.0,Toproll,Press,Toproll,,118.0,115.0,3.0,187.0,191.0,-4.0,Ukraine,Italy,0,0,0,domestic,1,58.5,50.0,50.0,male,male,False,False,140,189,2,1,0,1,4,4,0,0,0.6,0,-2,0.33,0,0,0,0,0,2,4,2,0.571,0.5,0.333,0.0
East vs West 16,EvW,"February 15, 2025",Georgia,Frank Lamparelli,Serhii Kalinichenko,Serhii Kalinichenko,Right,46.0,32.0,Toproll,,Toproll,Press,115.0,118.0,-3.0,191.0,187.0,4.0,Italy,Ukraine,0,0,0,domestic,0,50.0,58.5,50.0,male,male,False,False,189,140,0,1,2,1,4,4,0,-2,0.33,0,0,0.6,0,0,0,0,0,-2,2,4,0.333,0.0,0.571,0.5
