event,league,date,fighter_1,fighter_2,winner,match_arm,f1_age,f2_age,f1_style_dominant,f1_style_additional,f2_style_dominant,f2_style_additional,f1_weight,f2_weight,weight_advantage,f1_height,f2_height,height_advantage,f1_country,f2_country,f1_travel_penalty,f2_travel_penalty,domestic_advantage,travel_type,label,f1_style_combo_success_percent,f2_style_combo_success_percent,athlete1_style_advantage_rate,f1_gender,f2_gender,f1_is_current_title_holder,f2_is_current_title_holder,f1_days_from_last_match,f2_days_from_last_match,f1_low_rank_predictions,f1_high_rank_predictions,f2_low_rank_predictions,f2_high_rank_predictions,f1_all_rank_predictions,f2_all_rank_predictions,f1_left_winning_streak,f1_right_winning_streak,f1_winrate_last_5,f2_left_winning_streak,f2_right_winning_streak,f2_winrate_last_5,f1_domestic_win_rate,f1_transatlantic_win_rate,f2_domestic_win_rate,f2_transatlantic_win_rate,num_shared_opponents_value,mma_math_positive,mma_math_negative,has_head_to_head,head_to_head_result,second_order_mma_math_difference,second_order_mma_math_positive,second_order_mma_math_negative
East vs West 15,EvW,"November 2, 2024",Irakli Zirakashvili,Georgy Tautiev,Irakli Zirakashvili,Right,27,29,Toproll,Press,Toproll,Side,95.0,95.0,0.0,190.0,202.0,-12.0,Georgia,Russia,0,0,0,domestic,1,58.5,53.3,50.0,male,male,True,False,119,0,1,0,4,0,5,4,0,4,0.8,0,0,0.0,0.667,0.5,0.5,0.5,0,0,0,0,0,0,0,0
East vs West 15,EvW,"November 2, 2024",Michael Todd,Genadi Kvikvinia,Michael Todd,Right,51,40,King's Move,Side,Hook,Press,105.0,140.0,-35.0,191.0,185.0,6.0,United States Of America,Georgia,0,0,0,domestic,1,45.5,37.2,40.0,male,male,False,False,84,546,7,0,3,0,8,8,0,3,0.6,0,2,0.8,0.5,0.0,0.429,0.5,-1,0,1,1,-1,-2,3,5
East vs West 15,EvW,"November 2, 2024",Davit Samushia,Vladimir Maiorov,Davit Samushia,Right,33,31,Press,Hook,Hook,,85.0,85.0,0.0,178.0,179.0,-1.0,Georgia,Russia,0,0,0,domestic,1,82.4,42.9,83.3,male,male,True,False,119,119,4,0,2,0,8,3,0,9,1.0,0,0,0.5,0.833,0.5,0.333,0.5,0,0,0,1,1,0,0,0
East vs West 15,EvW,"November 2, 2024",Alizhan Muratov,Ivan Matyushenko,Alizhan Muratov,Left,27,40,Toproll,Hook,Hook,,104.0,114.0,-10.0,180.0,192.0,-12.0,Kazakhstan,Russia,0,0,0,domestic,1,53.4,42.9,59.6,male,male,False,False,196,154,5,0,1,0,10,4,4,0,1.0,0,0,0.75,1.0,0.5,0.667,0.5,0,0,0,0,0,0,0,0
East vs West 15,EvW,"November 2, 2024",Devon Larratt,Oleg Petrenko,Devon Larratt,Right,50,29,Toproll,King's Move,Side,Toproll,120.0,104.0,16.0,196.0,180.0,16.0,Canada,Ukraine,1,0,-1,transatlantic,1,80.0,69.2,57.1,male,male,False,True,35,119,9,1,4,0,12,8,0,4,1.0,0,4,0.8,0.5,0.8,0.714,0.5,1,1,0,0,0,-6,2,8
East vs West 14,EvW,"August 10, 2024",Ryan Belanger,Raimonds Liepins,Ryan Belanger,Right,41,34,Hook,Press,Hook,Press,141.0,83.0,58.0,190.5,170.0,20.5,Canada,Latvia,1,0,-1,transatlantic,1,37.2,37.2,50.0,male,male,False,False,0,168,1,0,6,0,1,8,0,0,0.0,0,0,0.6,1.0,1.0,0.6,0.0,0,0,0,0,0,0,0,0
East vs West 14,EvW,"August 10, 2024",Aymeric Pradines,Jonathan Breda,Aymeric Pradines,Left,39,31,Toproll,Hook,Hook,Press,100.0,102.0,-2.0,180.0,180.0,0.0,France,United States Of America,0,0,0,domestic,1,53.4,37.2,59.6,male,male,False,False,203,910,3,0,0,0,5,1,0,0,0.0,0,0,0.0,1.0,0.5,0.0,0.5,0,0,0,0,0,0,0,0
East vs West 14,EvW,"August 10, 2024",Elizabeth Mocek,Aleksandra Ozerova,Elizabeth Mocek,Right,28,32,Toproll,,Toproll,Hook,68.0,69.0,-1.0,160.0,174.0,-14.0,United States Of America,Russia,0,0,0,domestic,1,50.0,53.4,50.0,female,female,False,False,0,0,5,0,1,0,7,2,0,0,0.0,0,0,0.0,0.5,0.5,0.0,0.5,0,0,0,0,0,0,0,0
East vs West 14,EvW,"August 10, 2024",Hunter Noffz,Doug Erlich,Hunter Noffz,Right,27,39,Hook,Side,Hook,Press,77.0,77.0,0.0,175.0,185.0,-10.0,United States Of America,United States,0,0,0,domestic,1,44.2,37.2,50.0,male,male,False,False,0,462,0,0,2,0,2,3,0,0,0.0,0,0,0.5,0.667,0.5,0.333,0.5,0,0,0,0,0,0,0,0
East vs West 14,EvW,"August 10, 2024",Corey West,Travis Bagent,Corey West,Left,34,49,Hook,Side,Toproll,Side,195.0,125.0,70.0,192.0,191.0,1.0,United States Of America,United States Of America,0,0,0,domestic,1,44.2,53.3,40.4,male,male,False,False,413,35,4,1,4,0,10,4,0,-2,0.25,0,0,0.0,0.286,0.0,0.0,0.5,0,0,0,0,0,0,0,0
